Date,price_usd,hash_rate,tx_cnt,adr_act_cnt,sply_cur,mvrv,open,high,low,close,volume,dxy,unrate,cpi
2011-03-28,0.794740500292227,0.576055917766935,2977,5444,5776050.0,2.58237,,,,,,76.12999725341797,9.0,223.046
2011-03-29,0.792509941554646,0.558911396404824,2373,4473,5784200.0,2.56999182,,,,,,76.25,9.0,223.046
2011-03-30,0.789706312098189,0.534909066497868,1537,3574,5792000.0,2.55673793,,,,,,76.12000274658203,9.0,223.046
2011-03-31,0.78461,0.689209758756868,1885,4121,5802050.0,2.53409399,,,,,,75.86000061035156,9.0,223.046
2011-04-01,0.77411,0.603487151946312,1387,3259,5810850.0,2.49434063,,,,,,75.83000183105469,9.1,224.093
2011-04-02,0.78199,0.617202769036001,1622,3350,5819850.0,2.51639313,,,,,,75.83000183105469,9.1,224.093
2011-04-03,0.779,0.60005824767389,1617,3571,5828600.0,2.50130518,,,,,,75.83000183105469,9.1,224.093
2011-04-04,0.68,0.610344960491157,2190,4753,5837500.0,2.1702087,,,,,,75.91000366210938,9.1,224.093
2011-04-05,0.715691834599649,0.677833306935831,1881,4246,5847200.0,2.2785139,,,,,,75.87999725341797,9.1,224.093
2011-04-06,0.74,0.605826777408803,1701,3806,5854600.0,2.35209347,,,,,,75.51000213623047,9.1,224.093
2011-04-07,0.7538,0.601733353237122,1537,3454,5861950.0,2.39124558,,,,,,75.58999633789062,9.1,224.093
2011-04-08,0.74999,0.679508412499063,1617,3674,5870250.0,2.37382641,,,,,,75.06999969482422,9.1,224.093
2011-04-09,0.734060517241379,0.638574170782252,1556,3584,5878050.0,2.31988599,,,,,,75.06999969482422,9.1,224.093
2011-04-10,0.733156820572765,0.708162381700831,1572,3547,5886700.0,2.31383197,,,,,,75.06999969482422,9.1,224.093
2011-04-11,0.770113933372297,0.66722813998402,1802,4109,5894850.0,2.42399078,,,,,,75.05999755859375,9.1,224.093
2011-04-12,0.861381607831677,0.66722813998402,1889,4258,5903000.0,2.6961135,,,,,,74.8499984741211,9.1,224.093
2011-04-13,0.930320058445353,0.794124289306135,2220,4764,5912700.0,2.89135449,,,,,,74.9800033569336,9.1,224.093
2011-04-14,0.998629766218586,0.654947867468977,2913,6169,5920700.0,3.07319764,,,,,,74.68000030517578,9.1,224.093
2011-04-15,0.983673136762127,0.55670568734863,1874,4150,5927500.0,2.99333242,,,,,,74.83000183105469,9.1,224.093
2011-04-16,1.04663285797779,0.708162381700831,1743,5128,5936150.0,3.15615233,,,,,,74.83000183105469,9.1,224.093
2011-04-17,1.09812209789597,0.736816350902599,2109,4418,5945150.0,3.27386129,,,,,,74.83000183105469,9.1,224.093
2011-04-18,1.14943331151373,0.660518719570172,2947,5632,5952550.0,3.37473832,,,,,,75.5,9.1,224.093
2011-04-19,1.18516222092344,0.706956041464806,3399,6311,5960250.0,3.42498343,,,,,,75.02999877929688,9.1,224.093
2011-04-20,1.14212598480421,0.661049805006052,2809,5358,5967450.0,3.28485981,,,,,,74.37000274658203,9.1,224.093
2011-04-21,1.20733887200468,0.674821675943678,1759,4042,5974800.0,3.43905824,,,,,,74.0,9.1,224.093
2011-04-22,1.40450508182349,0.807949761674064,1907,4237,5983600.0,3.90431563,,,,,,74.0,9.1,224.093
2011-04-23,1.82885230099357,0.789587267090563,2145,4979,5992200.0,4.86099744,,,,,,74.0,9.1,224.093
2011-04-24,1.63198421975453,0.743681030631809,2291,4821,6000300.0,4.27543628,,,,,,74.0,9.1,224.093
2011-04-25,1.56448363530099,0.88139974000807,2342,5053,6009900.0,4.06113168,,,,,,73.98999786376953,9.1,224.093
2011-04-26,1.77084089012274,0.895171610945696,3203,6053,6019650.0,4.51459705,,,,,,73.83999633789062,9.1,224.093
2011-04-27,1.9031759585038,0.840084127195192,4394,7488,6028800.0,4.76744161,,,,,,73.5199966430664,9.1,224.093
2011-04-28,2.28574446580947,0.75286227792356,2819,6130,6037000.0,5.53562475,,,,,,73.12000274658203,9.1,224.093
2011-04-29,2.85060509000585,0.918124729175073,3432,6915,6047000.0,5.27956549,,,,,,72.93000030517578,9.1,224.093
2011-04-30,3.5,1.01573848814116,4208,8113,6056450.0,5.74340681,,,,,,72.93000030517578,9.1,224.093
2011-05-01,3.0942275534775,0.97586000943528,3735,7423,6065400.0,4.96719361,,,,,,72.93000030517578,9.0,224.806
2011-05-02,3.2,1.07399118356844,2894,5974,6075250.0,5.05486151,,,,,,72.94999694824219,9.0,224.806
2011-05-03,3.36058570368206,1.06853945167215,2776,6123,6085050.0,5.13349205,,,,,,73.13999938964844,9.0,224.806
2011-05-04,3.40867304734074,1.07399118356844,2574,6335,6094900.0,4.84337805,,,,,,73.02999877929688,9.0,224.806
2011-05-05,3.34373668439509,1.19392928528674,3273,7151,6105850.0,4.67664599,,,,,,74.19000244140625,9.0,224.806
2011-05-06,3.45507558445354,1.18847755339045,3112,6956,6116750.0,4.63603126,,,,,,74.83999633789062,9.0,224.806
2011-05-07,3.64126297779077,1.16667062580531,3598,7114,6127450.0,4.80792811,,,,,,74.83999633789062,9.0,224.806
2011-05-08,3.84866837697253,1.19392928528674,2772,6630,6138400.0,4.92348609,,,,,,74.83999633789062,9.0,224.806
2011-05-09,3.80408958211572,1.38366223925104,3240,7510,6150350.0,4.77598264,,,,,,74.73999786376953,9.0,224.806
2011-05-10,5.65166700233781,1.43201375569862,2920,7096,6159500.0,6.2849561,,,,,,74.61000061035156,9.0,224.806
2011-05-11,5.43975104383402,1.49461544993681,2920,7122,6169050.0,5.77375573,,,,,,75.33000183105469,9.0,224.806
2011-05-12,6.3348786943308,1.32246079078179,3196,7283,6177500.0,6.23619574,,,,,,75.23999786376953,9.0,224.806
2011-05-13,8.13903486732905,1.6198188384132,3861,9457,6187850.0,6.81610339,,,,,,75.76000213623047,9.0,224.806
2011-05-14,7.00724382933957,1.89370125070529,4203,9075,6199950.0,5.71115111,,,,,,75.76000213623047,9.0,224.806
2011-05-15,6.92492484453536,1.72154659155026,3600,8414,6210950.0,5.38878812,,,,,,75.76000213623047,9.0,224.806
2011-05-16,7.88514074517826,1.93282730960416,4040,11803,6223300.0,5.64948105,,,,,,75.47000122070312,9.0,224.806
2011-05-17,7.25719954061952,2.0110794274019,4182,10384,6236149.98999999,5.05909092,,,,,,75.4000015258789,9.0,224.806
2011-05-18,6.76316336236119,2.34847408033875,5368,13150,6250549.98999999,4.61026723,,,,,,75.47000122070312,9.0,224.806
2011-05-19,6.89014363237873,2.07506748741494,4422,11783,6259099.98999999,4.62646251,,,,,,75.12000274658203,9.0,224.806
2011-05-20,5.61809621858562,2.66967746918881,4619,11699,6270099.98999999,3.71328197,,,,,,75.43000030517578,9.0,224.806
2011-05-21,6.08480066744594,2.66967746918881,4689,10592,6281099.98999999,4.07285788,,,,,,75.43000030517578,9.0,224.806
2011-05-22,6.71195603974284,3.05799419197991,5058,10846,6293699.98999999,4.35034379,,,,,,75.43000030517578,9.0,224.806
2011-05-23,7.06525678375219,3.47058070994546,5480,12217,6307999.98999999,4.487161,,,,,,76.0999984741211,9.0,224.806
2011-05-24,7.40266058211573,3.62833437857935,5532,13132,6322949.98999999,4.5999394,,,,,,75.87999725341797,9.0,224.806
2011-05-25,8.56928963705436,3.72541355927713,6094,14760,6338299.98999999,5.19133406,,,,,,75.93000030517578,9.0,224.806
2011-05-26,8.78215543424898,4.13245826911418,6543,14268,6353099.98999999,5.17913836,,,,,,75.55000305175781,9.0,224.806
2011-05-27,8.52865846814728,3.61018181654882,4699,10903,6361449.98999999,4.74938352,,,,,,74.94999694824219,9.0,224.806
2011-05-28,8.34926911981298,3.35076755428184,4831,11552,6369199.98999999,4.61095078,,,,,,74.94999694824219,9.0,224.806
2011-05-29,8.40095347223846,3.89121393400471,4675,11521,6378199.98999999,4.59177413,,,,,,74.94999694824219,9.0,224.806
2011-05-30,8.77934246464056,3.32914969909293,5149,12585,6385899.98999999,4.71031321,,,,,,74.94999694824219,9.0,224.806
2011-05-31,8.72157642197545,3.24267827833727,5927,13982,6393399.98999999,4.60202531,,,,,,74.63999938964844,9.0,224.806
2011-06-01,9.62377723202805,4.06415677551603,6353,14043,6402799.98999999,4.97744055,,,,,,74.68000030517578,9.1,224.806
2011-06-02,10.7027602279369,4.10739248589386,6915,15459,6412299.98999999,5.3275221,,,,,,74.33000183105469,9.1,224.806
2011-06-03,14.2646467738165,4.36680674816084,8168,17741,6422399.98999999,6.42904939,,,,,,73.77999877929688,9.1,224.806
2011-06-04,18.3127387258913,4.84239956231696,8717,19728,6433599.98999999,7.74313927,,,,,,73.77999877929688,9.1,224.806
2011-06-05,16.5433423962595,4.49651387929433,8292,17662,6443999.98999999,6.57534893,,,,,,73.77999877929688,9.1,224.806
2011-06-06,18.4020986440678,5.64243674096539,9533,21083,6455649.98999999,6.0241396,,,,,,73.94999694824219,9.1,224.806
2011-06-07,23.2378784628872,4.79385062049806,8989,19206,6464149.98999999,7.22127316,,,,,,73.5199966430664,9.1,224.806
2011-06-08,29.0299213267095,5.21683743995377,11468,27266,6473399.98999999,7.38787829,,,,,,73.93000030517578,9.1,224.806
2011-06-09,28.7905440181181,6.26020492794452,12118,26219,6484499.98999999,6.61438788,,,,,,74.19000244140625,9.1,224.806
2011-06-10,24.0493992285213,6.28840404924157,11116,24275,6495649.98999999,5.13598194,,,,,,74.79000091552734,9.1,224.806
2011-06-11,14.7497466277031,7.10617856685594,10625,23839,6508249.98999999,3.17745001,,,,,,74.79000091552734,9.1,224.806
2011-06-12,18.8501447311514,6.57039526221204,12330,27257,6519899.98999999,3.60717104,,,,,,74.79000091552734,9.1,224.806
2011-06-13,19.5423291145529,6.40120053442976,10722,25165,6531249.98999999,3.61267024,,,,,,74.51000213623047,9.1,224.806
2011-06-14,19.2577355055523,6.96518296037071,13971,29777,6543599.98999999,3.30858495,,,,,,74.33000183105469,9.1,224.806
2011-06-15,19.4641426241964,9.62253046711673,12362,27660,6557549.98999999,3.13518917,,,,,,75.5999984741211,9.1,224.806
2011-06-16,17.9293625423729,7.84685597858517,12478,28666,6566549.98999999,2.83819584,,,,,,75.75,9.1,224.806
2011-06-17,15.4363689129164,8.10841784453801,11270,26437,6575849.98999999,2.42625836,,,,,,74.98999786376953,9.1,224.806
2011-06-18,16.8754045353594,8.58794793211821,11213,25899,6585699.98999999,2.62955708,,,,,,74.98999786376953,9.1,224.806
2011-06-19,17.5107167913501,9.7213826845805,11419,27866,6596849.98999999,2.69066084,,,,,,74.98999786376953,9.1,224.806
2011-06-20,17.5107167913501,10.2009127721607,10713,25564,6608549.98999999,2.67081932,,,,,,75.02999877929688,9.1,224.806
2011-06-21,17.5107167913501,11.0291920143447,9627,25256,6621199.98999999,2.63871848,,,,,,74.54000091552734,9.1,224.806
2011-06-22,17.5107167913501,11.334347524623,11221,26804,6634199.98999999,2.62779902,,,,,,74.77999877929688,9.1,224.806
2011-06-23,17.5107167913501,10.4624746381135,10114,24185,6646199.98999999,2.61500773,,,,,,75.44999694824219,9.1,224.806
2011-06-24,17.5107167913501,11.5883019031324,10834,25503,6656999.98999999,2.59755925,,,,,,75.66999816894531,9.1,224.806
2011-06-25,17.5107167913501,9.80408293420605,9580,22622,6664149.98999999,2.58920413,,,,,,75.66999816894531,9.1,224.806
2011-06-26,16.3613420157802,10.2154430573196,10154,24127,6671599.98999999,2.40438777,,,,,,75.66999816894531,9.1,224.806
2011-06-27,16.7522858132671,11.5866434676981,11360,30134,6680049.98999999,2.41862667,,,,,,75.38999938964844,9.1,224.806
2011-06-28,16.9618353071303,10.9696032830277,10515,25862,6688049.98999999,2.4228443,,,,,,75.05999755859375,9.1,224.806
2011-06-29,16.8545683179427,11.7923235292548,9765,24405,6696649.98999999,2.39153255,,,,,,74.69000244140625,9.1,224.806
2011-06-30,16.1852627808299,13.0949639191144,9348,23228,6706199.98999999,2.27916897,,,,,,74.30000305175781,9.1,224.806
2011-07-01,15.4203573991818,11.8608835497737,10569,30344,6714849.98999999,2.17517451,,,,,,74.3499984741211,9.0,225.395
2011-07-02,15.38284406955,11.5866434676981,7720,32077,6723299.98999999,2.17108212,,,,,,74.3499984741211,9.0,225.395
2011-07-03,15.4575505604909,11.3124033856224,8215,22031,6731549.98999999,2.17640481,,,,,,74.3499984741211,9.0,225.395
2011-07-04,13.8527968123904,11.655203488217,9601,23834,6740049.98999999,1.95761946,,,,,,74.3499984741211,9.0,225.395
2011-07-05,12.9648177147867,9.52984285213036,8938,23645,6746999.98999999,1.82728432,,,,,,74.69000244140625,9.0,225.395
2011-07-06,14.7147835832846,11.0198018544578,10249,26601,6754849.98999999,2.06878863,,,,,,75.12000274658203,9.0,225.395
2011-07-07,14.7972891613092,10.1785091494532,8901,22643,6761399.98999999,2.07598143,,,,,,74.95999908447266,9.0,225.395
2011-07-08,14.2990376969608,12.8202596157235,8372,24961,6769649.98999999,2.0056172,,,,,,75.18000030517578,9.0,225.395
2011-07-09,14.3815006697838,11.577082925714,7587,22376,6777099.98999999,2.01609779,,,,,,75.18000030517578,9.0,225.395
2011-07-10,14.6229375511397,10.6447004082068,8541,29298,6783949.98999999,2.03850499,,,,,,75.18000030517578,9.0,225.395
2011-07-11,14.3101554330801,12.1986712707187,10166,25407,6791799.98999999,1.99133352,,,,,,75.98999786376953,9.0,225.395
2011-07-12,14.0212726215663,10.9554945807092,8155,23335,6798849.98999999,1.94872351,,,,,,75.80999755859375,9.0,225.395
2011-07-13,13.9714545225015,14.840421736989,8874,27138,6808399.98999999,1.93841196,,,,,,75.20999908447266,9.0,225.395
2011-07-14,13.997974547633,11.188590210086,8647,28840,6815599.98999999,1.93955814,,,,,,75.25,9.0,225.395
2011-07-15,13.8063904056108,12.5871639863467,8082,24887,6823699.98999999,1.91086852,,,,,,75.12999725341797,9.0,225.395
2011-07-16,13.7130792992402,12.1986712707187,8548,23706,6831549.98999999,1.89668424,,,,,,75.12999725341797,9.0,225.395
2011-07-17,13.2581353109293,13.2087523313515,8179,24647,6840049.98999999,1.8320481,,,,,,75.12999725341797,9.0,225.395
2011-07-18,13.6305212504383,13.2087523313515,8712,27778,6848549.98999999,1.94207395,,,,,,75.4800033569336,9.0,225.395
2011-07-19,13.8247948386908,11.2111707323077,9031,25356,6855649.98999999,1.96438973,,,,,,75.22000122070312,9.0,225.395
2011-07-20,13.6783305920514,12.5241780565162,8682,25461,6863099.98999999,1.96296845,,,,,,74.79000091552734,9.0,225.395
2011-07-21,13.6118084418469,12.7763427153722,7961,25378,6870699.98999999,1.95201716,,,,,,74.0199966430664,9.0,225.395
2011-07-22,13.6985473310929,12.6922878290869,8920,24428,6878249.98999999,1.96311336,,,,,,74.19999694824219,9.0,225.395
2011-07-23,13.6817183424898,12.2720133976602,7194,21547,6885549.98999999,1.95853437,,,,,,74.19999694824219,9.0,225.395
2011-07-24,13.992515176505,13.953111123367,8338,23903,6893849.98999999,1.99913286,,,,,,74.19999694824219,9.0,225.395
2011-07-25,14.0334253787259,13.8690562370817,9155,26768,6902099.98999999,2.00132141,,,,,,74.05999755859375,9.0,225.395
2011-07-26,13.8780323232028,14.7936599862205,8044,23317,6910899.98999999,1.97632833,,,,,,73.47000122070312,9.0,225.395
2011-07-27,13.878224755114,14.6255502136498,7851,23742,6919599.98999999,1.97282473,,,,,,74.08999633789062,9.0,225.395
2011-07-28,13.4915910756867,13.0285073742283,8022,25905,6927349.98999999,1.91925019,,,,,,74.22000122070312,9.0,225.395
2011-07-29,13.5123163901227,13.7850013507964,7111,22490,6935549.98999999,1.91940166,,,,,,73.9000015258789,9.0,225.395
2011-07-30,13.5402806738749,12.7763427153722,5948,19350,6943149.98999999,1.91948827,,,,,,73.9000015258789,9.0,225.395
2011-07-31,13.3729061022794,14.7096050999351,8112,24519,6951899.98999999,1.8957305,,,,,,73.9000015258789,9.0,225.395
2011-08-01,13.0191138468732,14.8724516683645,8296,24432,6960149.98999999,1.84650394,,,,,,74.26000213623047,9.0,226.106
2011-08-02,12.2141564389246,14.4593828449778,8336,20824,6967849.98999999,1.73338364,,,,,,74.51000213623047,9.0,226.106
2011-08-03,9.28635691350088,14.7410591341657,7656,18614,6975699.98999999,1.33360498,,,,,,74.04000091552734,9.0,226.106
2011-08-04,10.7685037481005,12.1120804350788,8195,19254,6982149.98999999,1.54422773,,,,,,75.12000274658203,9.0,226.106
2011-08-05,9.73015395967271,13.1448934954344,7557,21833,6989149.98999999,1.40034516,,,,,,74.5999984741211,9.0,226.106
2011-08-06,6.964169735827,11.4548357603071,6266,19507,6995249.98999999,1.01786264,,,,,,74.5999984741211,9.0,226.106
2011-08-07,8.50179329222677,11.830404145891,6618,20134,7001549.98999999,1.24329896,,,,,,74.5999984741211,9.0,226.106
2011-08-08,7.77533763793104,12.7693251098506,7254,24672,7008349.98999999,1.15587536,,,,,,74.79000091552734,9.0,226.106
2011-08-09,9.80249948100526,13.7082460738102,9020,23592,7015649.98999999,1.45369998,,,,,,74.61000061035156,9.0,226.106
2011-08-10,10.0512531274109,14.2715986521859,8050,19400,7023249.98999999,1.48953532,,,,,,74.63999938964844,9.0,226.106
2011-08-11,9.43841299473992,12.8632172062465,7476,18286,7030099.98999999,1.40111707,,,,,,74.68000030517578,9.0,226.106
2011-08-12,9.45299328521333,12.2998646278708,7116,17412,7036649.98999999,1.40327416,,,,,,74.61000061035156,9.0,226.106
2011-08-13,10.0040247445938,12.2059725314748,7464,19665,7043149.98999999,1.48374896,,,,,,74.61000061035156,9.0,226.106
2011-08-14,10.8068207665108,12.3937567242667,7262,21211,7049749.98999999,1.60021658,,,,,,74.61000061035156,9.0,226.106
2011-08-15,11.1306965499708,12.0831688883706,8028,18940,7056199.98999999,1.64552851,,,,,,73.83999633789062,9.0,226.106
2011-08-16,10.9919655669199,13.1949956893324,9539,20993,7063549.98999999,1.62211392,,,,,,74.01000213623047,9.0,226.106
